model,target_type,location,forecast_date,weights
ILM-EKF,Cases,FR,2021-05-03,0.124952770695322
LANL-GrowthRate,Cases,FR,2021-05-03,0.124952770695322
UMass-SemiMech,Cases,FR,2021-05-03,0.122683809822608
UNIPV-BayesINGARCHX,Cases,FR,2021-05-03,0.257090258446211
USC-SIkJalpha,Cases,FR,2021-05-03,0.122683809822608
epiforecasts-EpiNow2,Deaths,FR,2021-05-03,0.0396969367667683
IEM_Health-CovidProject,Deaths,FR,2021-05-03,0.03790219757091
ILM-EKF,Deaths,FR,2021-05-03,0.0396969367667683
LANL-GrowthRate,Deaths,FR,2021-05-03,0.0396969367667683
RobertWalraven-ESG,Deaths,FR,2021-05-03,0.729300399416055
UMass-MechBayes,Deaths,FR,2021-05-03,0.03790219757091
UMass-SemiMech,Deaths,FR,2021-05-03,0.03790219757091
USC-SIkJalpha,Deaths,FR,2021-05-03,0.03790219757091
epiforecasts-EpiNow2,Cases,GB,2021-05-03,0.157958174264993
IEM_Health-CovidProject,Cases,GB,2021-05-03,0.17537515906834
ILM-EKF,Cases,GB,2021-05-03,0.157958174264993
LANL-GrowthRate,Cases,GB,2021-05-03,0.157958174264993
UMass-SemiMech,Cases,GB,2021-05-03,0.17537515906834
USC-SIkJalpha,Cases,GB,2021-05-03,0.17537515906834
epiforecasts-EpiNow2,Deaths,GB,2021-05-03,0.143155440312501
IEM_Health-CovidProject,Deaths,GB,2021-05-03,0.0588216524050465
ILM-EKF,Deaths,GB,2021-05-03,0.143155440312501
LANL-GrowthRate,Deaths,GB,2021-05-03,0.143155440312501
RobertWalraven-ESG,Deaths,GB,2021-05-03,0.33524706944231
UMass-MechBayes,Deaths,GB,2021-05-03,0.0588216524050465
UMass-SemiMech,Deaths,GB,2021-05-03,0.0588216524050465
USC-SIkJalpha,Deaths,GB,2021-05-03,0.0588216524050465
epiforecasts-EpiNow2,Cases,PL,2021-05-03,0.186600966824973
IEM_Health-CovidProject,Cases,PL,2021-05-03,0.0422660221166848
ILM-EKF,Cases,PL,2021-05-03,0.186600966824973
ITWW-county_repro,Cases,PL,2021-05-03,0.186600966824973
LANL-GrowthRate,Cases,PL,2021-05-03,0.186600966824973
MIMUW-StochSEIR,Cases,PL,2021-05-03,0.0422660221166848
MIT_CovidAnalytics-DELPHI,Cases,PL,2021-05-03,0.0422660221166848
